Sr No,date,startup,vertical,sub vertical,city,investor,round,amount
2115,2015-01-12,Godof Hospitals,Digital Healthcare,,New Delhi,Pankaj Gupta,Seed Funding,16.44
2116,2015-02-12,RoomsTonite,Last Minute Hotel Booking App,,Bangalore,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,\\xc2\\xa0 Ralph Berezan, Vissal Mathew,\\xc2\\xa0 Balamurali Krishna",Seed Funding,12.33
2119,2015-03-12,EasyKhaana,Online Food ordering & Delivery platform,,New Delhi,Undisclosed investors,Seed Funding,0.822
2120,2015-03-12,Shuttl,App based Bus Pooling Services,,Gurgaon,"Sequoia Capital, Times Internet Ltd & One more Fund",Private Equity,164.4
2123,2015-04-12,Applop,On Demand Mobile app developer,,Kolkata,GHV Accelerator,Seed Funding,0.822
2124,2015-04-12,CaRPM,Car Maintenance & Management mobile app,,Gurgaon,GHV Accelerator,Seed Funding,0.822
2125,2015-04-12,NDTV Wedding portal,Online Wedding Marketplace,,New Delhi,CerraCap,Private Equity,164.4
2128,2015-07-12,Customfurnish,Custom Made furniture e-tailer,,Hyderabad,Agnus Capital,Private Equity,36.99
2129,2015-07-12,Faasos,QSR Chain,,Pune,"ru-Net, Sequoia Capital,\\xc2\\xa0 Lightbox Ventures",Private Equity,246.6
2131,2015-07-12,Leaf Wearables,Smart Safety Wearable Devices,,New Delhi,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",Seed Funding,2.055
2132,2015-07-12,Coolshare,Cab Sharing service Mobile app,,Mumbai,Gopal Aggarwal,Seed Funding,0.822
2135,2015-08-12,Yumist,Home Cooked Food Order & Delivery platform,,Gurgaon,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",Private Equity,16.44
2136,2015-09-12,Jigsaw Academy,Online School for Analytics learning,,Bangalore,Manipal Global Education Services,Private Equity,24.66
2138,2015-09-12,Voxweb,Picture creation & Social mobile app,,Mumbai,Undisclosed Investor,Seed Funding,2.877
2139,2015-09-12,Aye Finance,Nonbanking finance company,,New Delhi,"SAIF Partners, Accion",Private Equity,24.66
2141,2015-10-12,BlackBuck,Online Freight Services Aggregator,,Bangalore,"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",Private Equity,205.5
2142,2015-10-12,HomeStudio,Online Branded Furniture etailer,,Bangalore,Bren Corporation,Private Equity,41.1
2143,2015-10-12,PropheSee,Digital Analytics Platform,,New Delhi,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,4.11
2144,2015-10-12,i2e1,Internet Network Infrastructure Services,,New Delhi,GrowX Ventures,Seed Funding,4.11
2145,2015-10-12,Holisol Logistics,Supply Chain & Logistics Solutions,,New Delhi,CLSA Capital Partners ARIA IV Funds,Private Equity,82.2
2147,2015-10-12,Paynear,Mobile Point of Sale solutions,,Hyderabad,Mitesh Majithia,Private Equity,20.55
